"Date",Gross $,Customers
20121105,279.46,35
20121106,313.20,34
20121107,362.94,40
20121108,323.37,35
20121109,297.11,42
20121110,337.10,40
20121111,219.13,38
20121112,167.25,22
20121113,233.76,27
20121114,399.14,29
20121115,339.67,45
20121116,243.55,30
20121117,317.09,41
20121118,323.01,39
20121119,248.86,33
20121120,234.06,36
20121121,257.20,34
20121122,68.66,14
20121123,175.92,19
20121124,219.91,28
20121125,160.74,18
20121126,249.67,27
20121127,186.04,26
20121128,351.98,47
20121129,303.04,36
20121130,421.52,53
20121201,369.26,39
20121202,163.90,25
20121203,307.72,44
20121204,357.12,45
20121205,158.28,24
20121206,224.39,27
20121207,370.57,55
20121208,239.95,28
20121209,287.53,36
20121210,269.91,35
20121211,239.68,27
20121212,274.64,35
20121213,266.97,35
20121214,240.26,39
20121215,224.91,30
20121216,320.33,30
20121217,310.98,26
20121218,119.60,16
20121219,244.53,18
20121220,315.36,17
20121221,251.08,18
20121222,220.92,30
20121223,162.09,18
20121224,0.00,0
20121225,0.00,0
20121226,63.22,5
20121227,147.31,14
20121228,147.63,12
20121229,77.05,9
20121230,119.72,13
20121231,11.15,1
20130101,95.37,10
20130102,199.64,19
20130103,113.18,15
20130104,208.92,28
20130105,305.26,35
20130106,149.67,19
20130107,162.04,21
20130108,260.52,28
20130109,342.59,36
20130110,227.93,33
20130111,302.39,46
20130112,340.22,52
20130113,199.59,25
20130114,183.21,26
20130115,278.50,33
20130116,214.80,29
20130117,155.90,21
20130118,464.51,53
20130119,319.24,45
20130120,174.20,20
20130121,251.41,27
20130122,239.38,29
20130123,358.28,38
20130124,215.30,27
20130125,434.50,43
20130126,235.10,31
20130127,223.39,23
20130128,320.70,43
20130129,206.22,26
20130130,275.49,30
20130131,177.45,22
20130201,311.35,34
20130202,354.30,38
20130203,211.76,24
20130204,355.49,33
20130205,231.08,33
20130206,331.49,27
20130207,236.67,27
20130208,473.52,51
20130209,343.76,36
20130210,250.24,24
20130211,220.96,21
20130212,310.04,25
20130213,204.51,29
20130214,251.90,31
20130215,350.38,28
20130216,356.96,37
20130217,236.62,24
20130218,162.59,18
20130219,184.48,22
20130220,293.58,33
20130221,328.00,40
20130222,482.57,43
20130223,301.35,49
20130224,357.66,38
20130225,306.72,37
20130226,268.90,27
20130227,236.95,31
20130228,223.86,28
20130301,274.32,27
20130302,362.84,38
20130303,301.95,29
20130304,373.24,38
20130305,260.44,33
20130306,221.36,30
20130307,315.12,33
20130308,360.99,51
20130309,367.97,44
20130310,381.26,36
20130311,406.17,47
20130312,309.94,40
20130313,297.00,35
20130314,426.72,51
20130315,331.96,47
20130316,398.00,52
20130317,287.29,40
20130318,208.65,33
20130319,314.67,40
20130320,389.90,39
20130321,227.53,33
20130322,330.53,37
20130323,134.70,16
20130324,178.84,18
20130325,137.00,15
20130326,280.53,23
20130327,174.14,21
20130328,156.14,18
20130329,202.97,21
20130330,134.63,23
20130331,260.22,30
20130401,270.61,33
20130402,243.93,30
20130403,130.58,15
20130404,323.06,43
20130405,373.10,47
20130406,348.91,45
20130407,117.37,22
20130408,244.78,32
20130409,289.28,33
20130410,141.65,15
20130411,415.58,42
20130412,378.30,51
20130413,385.51,49
20130414,330.91,38
20130415,290.07,27
20130416,337.44,39
20130417,342.14,29
20130418,405.25,49
20130419,407.51,46
20130420,358.80,40
20130421,409.18,43
20130422,251.48,26
20130423,156.30,22
20130424,311.34,38
20130425,284.37,35
20130426,405.14,49
20130427,386.74,58
20130428,213.92,33
20130429,374.83,42
20130430,264.76,36
20130501,336.61,42
20130502,273.54,30
20130503,353.59,43
20130504,332.96,45
20130505,308.54,36
20130506,240.41,30
20130507,411.55,43
20130508,445.76,52
20130509,285.39,31
20130510,422.17,47
20130511,381.85,41
20130512,214.10,25
20130513,300.62,40
20130514,306.49,45
20130515,319.81,35
20130516,432.23,46
20130517,388.04,61
20130518,361.06,51
20130519,480.03,48
20130520,241.00,35
20130521,369.43,40
20130522,324.24,42
